roi,cell_id,leiden_cluster,umap_1,umap_2,n_genes,total_counts,cell_type
Sample_007_Region,21569-sample_1_lv_0046706_007,6,12.20708,14.099091,0,527,Undifferentiated_KC
Sample_007_Region,21570-sample_1_lv_0046706_007,6,12.379849,13.470438,0,554,Undifferentiated_KC
Sample_007_Region,21571-sample_1_lv_0046706_007,7,4.3958173,8.2032,0,57,Differentiated_KC
Sample_007_Region,21572-sample_1_lv_0046706_007,7,4.278069,7.619235,0,57,Differentiated_KC
Sample_007_Region,21573-sample_1_lv_0046706_007,0,-5.3902173,8.674944,0,77,Differentiated_KC
Sample_007_Region,21574-sample_1_lv_0046706_007,7,4.36661,7.8343706,0,142,Differentiated_KC
Sample_007_Region,21575-sample_1_lv_0046706_007,0,-4.5918474,8.043184,0,72,Differentiated_KC
Sample_007_Region,21576-sample_1_lv_0046706_007,17,5.0138183,9.874235,0,363,Undifferentiated_KC
Sample_007_Region,21577-sample_1_lv_0046706_007,7,4.4166026,7.9853663,0,40,Undifferentiated_KC
Sample_007_Region,21578-sample_1_lv_0046706_007,0,-5.3369184,6.7486153,0,196,Undifferentiated_KC
Sample_007_Region,24155-sample_1_lv_0046706_007,4,14.923238,7.4242353,0,420,MigDC
Sample_007_Region,24156-sample_1_lv_0046706_007,6,12.388477,13.549217,0,660,Undifferentiated_KC
Sample_007_Region,24157-sample_1_lv_0046706_007,23,6.142752,17.742573,0,557,LC
Sample_007_Region,24158-sample_1_lv_0046706_007,1,4.745632,0.45666116,0,336,Differentiated_KC
Sample_007_Region,24159-sample_1_lv_0046706_007,19,20.154528,13.761577,0,344,Undifferentiated_KC
Sample_007_Region,24160-sample_1_lv_0046706_007,11,11.83267,9.882613,0,87,Mono_mac
Sample_007_Region,24161-sample_1_lv_0046706_007,6,13.042378,15.612504,0,478,Undifferentiated_KC
Sample_007_Region,24162-sample_1_lv_0046706_007,11,10.544594,10.204267,0,370,Tc
